Sanatan Sukhija		Machine Learning SwitchUp Program	Regression Algorithms Technical Coaching Session	September 11	06:00 PM	07:00 PM
Ahmed Elbagoury		Machine Learning SwitchUp Program	Generative AI 1 Part 2 Technical Coaching Session	September 11	06:00 PM	07:00 PM
Parivesh Priye		Machine Learning SwitchUp Program	Reinforcement Learning 1 Technical Coaching Session	September 11	06:00 PM	07:00 PM
Andrew Castillo		Machine Learning SwitchUp Program	Modern ML Architectures Technical Coaching Session	September 11	06:00 PM	07:00 PM
Justin Joseph		Machine Learning SwitchUp Program	Capstone Project 1 and 2 Technical Coaching Session	September 11	06:00 PM	07:00 PM
Thuc Tran		Machine Learning SwitchUp Program	Capstone Project 3 and 4 Technical Coaching Session	September 11	06:00 PM	07:00 PM
Sayan Maity		Machine Learning SwitchUp Program	Capstone Project 3 and 4 Technical Coaching Session	September 11	06:00 PM	07:00 PM
Tam Tran		Machine Learning SwitchUp Program	Intro to Neural Networks Technical Coaching Session	September 11	06:00 PM	07:00 PM
Mohsen Kiskani		Machine Learning SwitchUp Program	Capstone Project 4,5 and 6 Technical Coaching Session	September 11	06:00 PM	07:00 PM
Jason Clague		Machine Learning SwitchUp Program	Regression Algorithms Technical Coaching Session	September 11	06:00 PM	07:00 PM
Sarfaraz Hussein		Machine Learning SwitchUp Program	Capstone Project 1, 2 and 3 Technical Coaching Session	September 11	06:00 PM	07:00 PM
Elias Haroun		Machine Learning SwitchUp Program	MLOPs Design Consideration Technical Coaching Session	September 11	06:00 PM	07:00 PM
Fangxu Xing		Machine Learning SwitchUp Program	Probability Distribution 1 Technical Coaching Session	September 11	06:00 PM	07:00 PM
Jacob Markus	Facebook	Data Analyst & Business Analyst Interview Preparation Program	Data Analyst & Business Analyst Interview with Jacob	September 11	06:00 PM	07:00 PM
Shivani Rao		Machine Learning SwitchUp Program	Deep Learning Primer Technical Coaching Session	September 11	06:00 PM	07:00 PM
Anshaj Khare		Machine Learning SwitchUp Program	EDA & Visualization 2 Technical Coaching Session with Anshaj	September 11	06:00 PM	07:00 PM
